Feature,Importance
Heating_GasW,0.0
Heating_Grav,0.0
Heating_OthW,0.0
Heating_Wall,0.0
Electrical_FuseF,0.0
Electrical_FuseP,0.0
GarageType_Basment,0.0
GarageType_CarPort,0.0
GarageType_None,0.0
GarageYrBlt_1872.0,0.0
GarageYrBlt_1875.0,0.0
GarageYrBlt_1890.0,0.0
GarageYrBlt_1895.0,0.0
GarageYrBlt_1900.0,0.0
GarageYrBlt_1902.0,0.0
GarageYrBlt_1905.0,0.0
GarageYrBlt_1910.0,0.0
GarageYrBlt_1912.0,0.0
GarageYrBlt_1914.0,0.0
GarageYrBlt_1915.0,0.0
GarageYrBlt_1916.0,0.0
GarageYrBlt_1917.0,0.0
GarageYrBlt_1918.0,0.0
GarageYrBlt_1919.0,0.0
GarageYrBlt_1921.0,0.0
GarageYrBlt_1923.0,0.0
GarageYrBlt_1924.0,0.0
GarageYrBlt_1925.0,0.0
GarageYrBlt_1926.0,0.0
GarageYrBlt_1929.0,0.0
GarageYrBlt_1930.0,0.0
GarageYrBlt_1931.0,0.0
GarageYrBlt_1932.0,0.0
GarageYrBlt_1933.0,0.0
GarageYrBlt_1934.0,0.0
GarageYrBlt_1935.0,0.0
GarageYrBlt_1936.0,0.0
GarageYrBlt_1937.0,0.0
GarageYrBlt_1938.0,0.0
GarageYrBlt_1942.0,0.0
GarageYrBlt_1945.0,0.0
GarageYrBlt_1948.0,0.0
GarageYrBlt_1952.0,0.0
GarageYrBlt_1954.0,0.0
GarageYrBlt_1958.0,0.0
GarageYrBlt_1960.0,0.0
GarageYrBlt_1961.0,0.0
GarageYrBlt_1963.0,0.0
GarageYrBlt_1969.0,0.0
GarageYrBlt_1971.0,0.0
GarageYrBlt_1972.0,0.0
GarageYrBlt_1973.0,0.0
GarageYrBlt_1974.0,0.0
GarageYrBlt_1982.0,0.0
GarageYrBlt_1983.0,0.0
GarageYrBlt_1984.0,0.0
GarageYrBlt_1985.0,0.0
GarageYrBlt_1991.0,0.0
GarageYrBlt_1994.0,0.0
GarageYrBlt_1996.0,0.0
GarageYrBlt_1997.0,0.0
GarageYrBlt_2006.0,0.0
GarageYrBlt_2010.0,0.0
GarageYrBlt_None,0.0
GarageCars_0.0,0.0
GarageCars_4.0,0.0
GarageCars_5.0,0.0
GarageCars_None,0.0
Fence_GdWo,0.0
MiscFeature_Gar2,0.0
MiscFeature_None,0.0
MiscFeature_Othr,0.0
MiscFeature_Shed,0.0
MiscFeature_TenC,0.0
SaleType_CWD,0.0
SaleType_Con,0.0
SaleType_ConLI,0.0
SaleCondition_AdjLand,0.0
SaleCondition_Alloca,0.0
ClassPr_S_EXEMPT,0.0
ClassPr_S_RESIDENTIAL,0.0
ClassSc_S_1-1/2 STORY TWNHM - ALL AGES,0.0
ClassSc_S_1-STORY 1945 & OLDER,0.0
ClassSc_S_1-STORY TWNHM - 1946 & NEWER,0.0
ClassSc_S_1-STORY W/FINISHED ATTIC ALL AGES,0.0
ClassSc_S_2 FAMILY CONVERSION - ALL STYLES AND AGES,0.0
ClassSc_S_2-1/2 STORY ALL AGES,0.0
ClassSc_S_2-LEVEL CONDO 1946 & NEWER,0.0
ClassSc_S_2-STORY TWNHM - 1946 & NEWER,0.0
ClassSc_S_DUPLEX - ALL STYLES AND AGES,0.0
ClassSc_S_MULTILEVEL TWNHM  - INCL SPLIT LEV/FOYER,0.0
ClassSc_S_RELIGIOUS - RESIDENCE - PARSONAGE,0.0
ClassSc_S_SPLIT FOYER,0.0
ClassSc_S_VACANT LAND - IMPROVED OR UNIMPROVED,0.0
YmSold_2006-1,0.0
YmSold_2006-3,0.0
YmSold_2006-4,0.0
YmSold_2006-5,0.0
YmSold_2006-7,0.0
YmSold_2007-10,0.0
YmSold_2007-11,0.0
YmSold_2007-5,0.0
YmSold_2007-6,0.0
YmSold_2007-9,0.0
YmSold_2008-3,0.0
YmSold_2008-8,0.0
YmSold_2009-11,0.0
YmSold_2009-2,0.0
YmSold_2009-6,0.0
YmSold_2010-7,0.0
