,MSZoning,Neighborhood,Condition1,Condition2,HouseStyle,RoofStyle,Exterior1st,Electrical,ClassPr_S,LotArea,LotShape,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,LowQualFinSF,BedroomAbvGr,KitchenQual,Functional,Fireplaces,GarageFinish,GarageCars,PavedDrive,MoSold,SaleCondition,Latitude,Longitude,LF_median,DistanceFromCenter,total_baths,TotalPorchSF,TotalFinSF,MSSubClass
BsmtQual,191.05012755095527,494.1985701435424,79.11185367861276,0.0,255.0192719604321,33.220695700520196,73.80058803809254,16.119546782843827,0.0,140.4874285472897,5.162399763994117,328.8705121462226,373.79508325593906,237.83024494767687,400.48132962047157,142.8887901297844,313.99287149145937,9.566792011245226,204.4949275797536,0.0,299.7291120149034,104.36299093934849,291.9975936631354,232.87806731542537,169.98797149214852,40.80596881116935,1.121245597809505,238.04100793487703,470.1312033965778,0.5705070181452356,41.47410271311173,17.661021460503093,407.118350052046,26.63933173261111,118.76974430892949,115.47692732281416,216.24628998881485,13.519240898411908,161.4319526649591,151.8941472352592,28.60630339113868,191.3475743738661,478.9346759493419,247.88210195278975
BsmtExposure,120.99147614655101,267.1273091695866,27.690785318301323,0.0,415.40407180975467,135.08245282703606,200.33152083638913,16.989817260440383,0.0,230.64928735362992,95.81058555713918,594.9131718683784,122.13810459811339,1526.370048714345,102.56699340159503,60.55771333979237,275.7750620871766,18.341230834062813,125.37917761584126,384.1824853971847,0.0,101.18341590937621,643.6105945385789,273.8046033637472,28.575022638351584,15.7455805335062,0.5363216343213963,474.5943940418658,524.0470487327143,69.24313305475164,57.911401306482276,391.0370378655677,330.2978489684765,14.506423404730285,83.11315227268528,61.526583183945604,323.44745080142457,7.695801361922122,51.40861220442957,67.38002353203024,167.95723126180428,313.38478510491336,712.5835869674775,331.24497523061973
BsmtFinType1,249.06574962696072,539.2027085368318,168.76547997793887,0.0,16.45717582954279,167.68228479245735,349.83831807023887,24.772130657577684,0.0,74.00782209260524,106.70269302695473,168.3829786234619,389.879388586558,726.5465671887459,375.31437614589277,129.39448359912421,254.1646425931283,8.445774713397057,288.6070669585576,21.985471625520006,428.42461816012883,0.0,558.3455175618337,295.68251181445953,171.79039326505267,117.1105296910946,14.45689372625612,226.75377315626622,353.5610921621178,73.55899000238378,20.75835211754611,38.70103801578614,190.1089917922841,7.717077580639739,121.9827873472725,49.015359550375024,14.4424525096847,89.93247202404928,92.33831120995228,166.48594527973341,80.1387302799726,496.45613725326757,449.6631785368154,43.104498626692475
BsmtUnfSF,116.49922896486203,1195.525833732131,129.6212729675824,0.0,1477.7213873048058,149.17071149972597,128.84994292380554,48.523337446381376,0.0,391.1595514793162,94.25172936251397,714.5497144470701,111.76642604619201,46.89190425702145,329.0871131857157,358.6879674369102,579.6289565554866,130.48280910692966,139.52344295428654,8.461397234436049,277.6100085820624,247.99491797792678,0.0,3679.701925286853,30.024772508057367,80.89166316860258,3.1886604180157363,1017.6623770980232,669.0585694718065,33.53603496298422,538.0089644055565,211.0308601861397,171.60158341831766,56.60654065275523,98.79645764433917,99.90297913954635,263.32033723394215,332.13128289263454,9.0224202497418,475.39244142280313,810.4965328043947,315.3535699048168,6071.169670999669,103.51336132365282
TotalBsmtSF,103.78372838936355,690.74724909625,48.367539204564764,0.0,304.005970241892,66.99494119715067,474.37551954204844,30.438230785521128,0.0,391.86487764373396,63.302043782410294,447.1083510584285,371.338202902225,506.631019684467,691.8852084805822,249.38632372297775,295.56499670061123,0.808281702283324,117.29747912340866,706.1909349662868,101.33355032612576,94.98487173230956,380.43854787777946,0.0,93.39270531697707,87.1176936182593,7.753432466987789,102.25727034306306,674.0256811725126,29.031167274389986,421.47544334327586,321.7281703497568,436.0242196539575,29.376241590649443,176.65272306208726,74.22113985898386,294.7975153428756,378.60412883754134,201.24146122882507,263.5034252500145,442.64381910333304,251.44740632635194,647.3047985318335,409.46663322060704
HeatingQC,149.66788231167993,856.3140252934627,79.71500807725624,0.0,100.01305624103571,37.08299985131893,487.42328253217613,7.272821448626075,0.0,305.975602019852,72.02497514069029,58.794400538628906,513.4519125662273,711.2140115473858,950.1002473294716,169.43206344309806,230.43858172919965,66.45833431878809,258.333898376995,125.16901419345538,124.61700949941951,158.55312088058633,611.7552142702662,180.04887249940452,0.0,66.05592796657288,7.658365412275494,278.36164023193953,495.1971366963812,44.13219231381174,30.5579903567359,235.280633452294,245.00765987717568,13.234901460068855,94.4174415809947,22.755655616674517,199.83259231675538,93.15828332189676,209.99212902917782,90.34090971862611,72.30731015574315,186.23909183438764,698.4359791722927,207.67126230945632
CentralAir,137.7952861764602,788.6383387431251,84.06857325649867,0.0,77.17659363380392,170.78608950797755,429.0551496278266,23.50142026129886,0.0,392.5510929554812,92.85082901135303,8.811358538616332,352.51258111447805,1376.9107471879488,223.6440565690068,133.13794718996337,285.1494407333803,14.625083444332901,160.03575336743683,73.60258239462826,248.7903177263927,23.35701120266799,741.703285895217,225.77897602966686,216.79246021769018,0.0,3.3048371820678923,341.910716306257,700.0294261144945,68.12332981594591,33.42684647019405,469.42466893691557,221.3055278920392,70.89944671980558,2.7592068817129984,43.70681029649336,200.80944521809624,104.67008187906777,183.29758814150205,330.93555058011657,191.75136942857307,279.4104339849514,1038.105447942824,44.65682291098619
LowQualFinSF,219.96459739004922,718.98829579221,144.03526627419978,0.0,105.21052597172763,64.27906858371736,343.3638600950445,66.89192419232891,0.0,211.35963372632432,133.2856033012175,137.8364890427365,423.5947841340412,1292.1160504327,240.48435985039714,85.00421131413145,258.71611204459145,4.678644599888273,119.55852283955437,146.96220435081932,172.13293153085078,28.90090978195383,433.4353234364562,250.5502470092099,90.68902850551012,80.10482697442092,0.0,317.83222239643715,474.15936619037257,47.67920592423479,317.7581730815241,389.7404434773536,155.27150751693853,17.95936788761506,157.1094619166355,89.4712258150613,94.41422237529355,85.3046713326205,5.513216873754345,17.356907199804937,98.49663064567994,237.9911692128237,824.0655214351464,152.1029484050223
BedroomAbvGr,284.740382123111,805.3766021851998,19.227547740189493,0.0,455.4475069522158,125.5374844705888,236.09189977318317,0.7087995925302977,0.0,70.14267627305162,36.18478587331775,355.86741876863744,345.28781761534174,1147.4655049346975,127.38310778738833,223.9775433888783,342.67624936724974,59.046201220756146,258.5262479991603,92.04269140432484,314.08498750462627,39.39753497444565,387.2595693133535,249.71922899331184,32.86525213052141,31.275740047837417,6.134469861307252,0.0,497.6562984034754,25.48279803510627,7.310757860518152,138.52839718303602,170.6245317901048,85.50283931693824,43.035330781154244,106.04360918129623,357.376061640329,15.556151633265017,8.317321253390219,82.90763044132541,155.5868870566528,147.96483193712925,761.3343104130217,193.49752439326426
KitchenQual,16.211657250727626,731.4789215416367,138.59810884213357,0.0,282.14485527955924,85.12390650953418,216.567643977815,40.00699171751843,0.0,71.08352804844526,145.9260918721942,519.2563113566775,651.1826078508811,1120.7482485900719,1050.2483033375747,22.083801602842186,1184.4223276778366,77.38179470125642,172.27009683893704,252.02907560590586,125.4678528876725,13.426749886479001,444.4093441161058,16.479002951947905,200.79018085665052,157.40731709668455,12.635379870965394,539.5568687448931,0.0,70.49754603077622,97.87580119343556,66.60337904027557,445.0152851660341,104.03563754972458,38.860072882852705,88.42733494734591,393.4697378702899,45.22405892456254,298.6024041255806,165.38179382964768,604.8602591054869,401.4740995069617,1205.5062192087244,260.2453994419675
Functional,159.1464358998121,1058.9123484783995,9.910361870549195,0.0,160.17891425395044,181.2090669539676,210.59753090514243,15.56612382602534,0.0,389.60700451610955,111.42531201656033,234.55563033439648,423.6887595920525,579.5354778099272,47.80224469097766,240.36781888025075,274.3183562641842,11.20447105777123,268.5702957142125,219.61049647707205,86.34902925254164,145.85329494068856,449.1259295241671,322.6877218322338,219.37555408123762,66.5974266902142,11.46770329728615,219.0401255841066,428.2067707023821,0.0,320.5423070320785,190.27492005623827,373.04032167616924,46.16114429497824,50.60338115864113,69.62439896992282,125.5004383634946,72.4844286201685,71.77178387214781,280.8957533032558,218.07737188685792,332.6437382636384,1030.1342304815262,287.93991475967573
Fireplaces,466.95498504406305,531.0049714335391,76.39911527741651,4.216791062842667,425.04441909012166,1.5422492993329513,343.1366107365476,12.703224070662387,0.0,391.1468116257229,35.66177249722922,478.68837912616254,426.2380482590406,1294.4443669712455,481.7048136546814,313.76855185033696,81.18427643128865,25.140649569928655,215.85203872214248,48.106849706202524,337.61975471944606,172.95936885871663,285.3194180609553,216.03093439995655,115.87979555332527,92.51010880158844,12.303618298333873,126.38151952241071,669.1683042369045,63.99575480044393,0.0,231.50328875258327,642.6120154964083,60.577484684171196,78.74075640248577,94.02419577146259,426.1377652108108,169.50953788491415,241.308092003026,278.2448918521218,347.22895020004694,102.80993784235056,343.97365801905835,202.39192803956007
